year,city,country,avg_temp,,,year,avg_temp,,,,Mecca Temperature,Globle Temperature
1861,Mecca,Saudi Arabia,23.98,,,1861,7.85,8.004285714,,,,8.004285714
1862,Mecca,Saudi Arabia,24.13,,,1862,7.56,7.925714286,,,,7.925714286
1863,Mecca,Saudi Arabia,22.87,,,1863,8.11,7.941428571,,,,7.941428571
1864,Mecca,Saudi Arabia,25.43,,,1864,7.98,7.972857143,,,,7.972857143
1865,Mecca,Saudi Arabia,25.6,,,1865,8.18,7.984285714,,,,7.984285714
1866,Mecca,Saudi Arabia,25.42,,,1866,8.29,7.99,,,,7.99
1867,Mecca,Saudi Arabia,25.62,24.72142857,,1867,8.44,8.058571429,,,24.72142857,8.058571429
1868,Mecca,Saudi Arabia,25.3,24.91,,1868,8.25,8.115714286,,,24.91,8.115714286
1869,Mecca,Saudi Arabia,25.65,25.12714286,,1869,8.43,8.24,,,25.12714286,8.24
1870,Mecca,Saudi Arabia,25.35,25.48142857,,1870,8.2,8.252857143,,,25.48142857,8.252857143
1871,Mecca,Saudi Arabia,24.97,25.41571429,,1871,8.12,8.272857143,,,25.41571429,8.272857143
1872,Mecca,Saudi Arabia,25.2,25.35857143,,1872,8.19,8.274285714,,,25.35857143,8.274285714
1873,Mecca,Saudi Arabia,25.57,25.38,,1873,8.35,8.282857143,,,25.38,8.282857143
1874,Mecca,Saudi Arabia,25.32,25.33714286,,1874,8.43,8.281428571,,,25.33714286,8.281428571
1875,Mecca,Saudi Arabia,24.53,25.22714286,,1875,7.86,8.225714286,,,25.22714286,8.225714286
1876,Mecca,Saudi Arabia,25.13,25.15285714,,1876,8.08,8.175714286,,,25.15285714,8.175714286
1877,Mecca,Saudi Arabia,25.81,25.21857143,,1877,8.54,8.224285714,,,25.21857143,8.224285714
1878,Mecca,Saudi Arabia,25.94,25.35714286,,1878,8.83,8.325714286,,,25.35714286,8.325714286
1879,Mecca,Saudi Arabia,25.57,25.41,,1879,8.17,8.322857143,,,25.41,8.322857143
1880,Mecca,Saudi Arabia,25.42,25.38857143,,1880,8.12,8.29,,,25.38857143,8.29
1881,Mecca,Saudi Arabia,26.06,25.49428571,,1881,8.27,8.267142857,,,25.49428571,8.267142857
1882,Mecca,Saudi Arabia,25.09,25.57428571,,1882,8.13,8.305714286,,,25.57428571,8.305714286
1883,Mecca,Saudi Arabia,25.36,25.60714286,,1883,7.98,8.291428571,,,25.60714286,8.291428571
1884,Mecca,Saudi Arabia,25.03,25.49571429,,1884,7.77,8.181428571,,,25.49571429,8.181428571
1885,Mecca,Saudi Arabia,25.33,25.40857143,,1885,7.92,8.051428571,,,25.40857143,8.051428571
1886,Mecca,Saudi Arabia,25.13,25.34571429,,1886,7.95,8.02,,,25.34571429,8.02
1887,Mecca,Saudi Arabia,25.08,25.29714286,,1887,7.91,7.99,,,25.29714286,7.99
1888,Mecca,Saudi Arabia,25.21,25.17571429,,1888,8.09,7.964285714,,,25.17571429,7.964285714
1889,Mecca,Saudi Arabia,25.88,25.28857143,,1889,8.32,7.991428571,,,25.28857143,7.991428571
1890,Mecca,Saudi Arabia,25.79,25.35,,1890,7.97,7.99,,,25.35,7.99
1891,Mecca,Saudi Arabia,25.88,25.47142857,,1891,8.02,8.025714286,,,25.47142857,8.025714286
1892,Mecca,Saudi Arabia,25.39,25.48,,1892,8.07,8.047142857,,,25.48,8.047142857
1893,Mecca,Saudi Arabia,25.42,25.52142857,,1893,8.06,8.062857143,,,25.52142857,8.062857143
1894,Mecca,Saudi Arabia,25,25.51,,1894,8.16,8.098571429,,,25.51,8.098571429
1895,Mecca,Saudi Arabia,24.96,25.47428571,,1895,8.15,8.107142857,,,25.47428571,8.107142857
1896,Mecca,Saudi Arabia,25.24,25.38285714,,1896,8.21,8.091428571,,,25.38285714,8.091428571
1897,Mecca,Saudi Arabia,25.27,25.30857143,,1897,8.29,8.137142857,,,25.30857143,8.137142857
1898,Mecca,Saudi Arabia,25.59,25.26714286,,1898,8.18,8.16,,,25.26714286,8.16
1899,Mecca,Saudi Arabia,25.57,25.29285714,,1899,8.4,8.207142857,,,25.29285714,8.207142857
1900,Mecca,Saudi Arabia,25.5,25.30428571,,1900,8.5,8.27,,,25.30428571,8.27
1901,Mecca,Saudi Arabia,25.79,25.41714286,,1901,8.54,8.324285714,,,25.41714286,8.324285714
1902,Mecca,Saudi Arabia,25.42,25.48285714,,1902,8.3,8.345714286,,,25.48285714,8.345714286
1903,Mecca,Saudi Arabia,25.03,25.45285714,,1903,8.22,8.347142857,,,25.45285714,8.347142857
1904,Mecca,Saudi Arabia,25.4,25.47142857,,1904,8.09,8.318571429,,,25.47142857,8.318571429
1905,Mecca,Saudi Arabia,25.12,25.40428571,,1905,8.23,8.325714286,,,25.40428571,8.325714286
1906,Mecca,Saudi Arabia,25.26,25.36,,1906,8.38,8.322857143,,,25.36,8.322857143
1907,Mecca,Saudi Arabia,24.98,25.28571429,,1907,7.95,8.244285714,,,25.28571429,8.244285714
1908,Mecca,Saudi Arabia,25.23,25.20571429,,1908,8.19,8.194285714,,,25.20571429,8.194285714
1909,Mecca,Saudi Arabia,25.95,25.28142857,,1909,8.18,8.177142857,,,25.28142857,8.177142857
1910,Mecca,Saudi Arabia,25.18,25.30285714,,1910,8.22,8.177142857,,,25.30285714,8.177142857
1911,Mecca,Saudi Arabia,24.85,25.22428571,,1911,8.18,8.19,,,25.22428571,8.19
1912,Mecca,Saudi Arabia,25.05,25.21428571,,1912,8.17,8.181428571,,,25.21428571,8.181428571
1913,Mecca,Saudi Arabia,24.75,25.14142857,,1913,8.3,8.17,,,25.14142857,8.17
1914,Mecca,Saudi Arabia,25.38,25.19857143,,1914,8.59,8.261428571,,,25.19857143,8.261428571
1915,Mecca,Saudi Arabia,25.88,25.29142857,,1915,8.59,8.318571429,,,25.29142857,8.318571429
1916,Mecca,Saudi Arabia,25.36,25.20714286,,1916,8.23,8.325714286,,,25.20714286,8.325714286
1917,Mecca,Saudi Arabia,25.27,25.22,,1917,8.02,8.297142857,,,25.22,8.297142857
1918,Mecca,Saudi Arabia,25.25,25.27714286,,1918,8.13,8.29,,,25.27714286,8.29
1919,Mecca,Saudi Arabia,26.01,25.41428571,,1919,8.38,8.32,,,25.41428571,8.32
1920,Mecca,Saudi Arabia,25.17,25.47428571,,1920,8.36,8.328571429,,,25.47428571,8.328571429
1921,Mecca,Saudi Arabia,25.17,25.44428571,,1921,8.57,8.325714286,,,25.44428571,8.325714286
1922,Mecca,Saudi Arabia,25.66,25.41285714,,1922,8.41,8.3,,,25.41285714,8.3
1923,Mecca,Saudi Arabia,25.51,25.43428571,,1923,8.42,8.327142857,,,25.43428571,8.327142857
1924,Mecca,Saudi Arabia,25.96,25.53285714,,1924,8.51,8.397142857,,,25.53285714,8.397142857
1925,Mecca,Saudi Arabia,25.51,25.57,,1925,8.53,8.454285714,,,25.57,8.454285714
1926,Mecca,Saudi Arabia,25.53,25.50142857,,1926,8.73,8.504285714,,,25.50142857,8.504285714
1927,Mecca,Saudi Arabia,25.82,25.59428571,,1927,8.52,8.527142857,,,25.59428571,8.527142857
1928,Mecca,Saudi Arabia,26.05,25.72,,1928,8.63,8.535714286,,,25.72,8.535714286
1929,Mecca,Saudi Arabia,25.92,25.75714286,,1929,8.24,8.511428571,,,25.75714286,8.511428571
1930,Mecca,Saudi Arabia,25.76,25.79285714,,1930,8.63,8.541428571,,,25.79285714,8.541428571
1931,Mecca,Saudi Arabia,25.9,25.78428571,,1931,8.72,8.571428571,,,25.78428571,8.571428571
1932,Mecca,Saudi Arabia,25.45,25.77571429,,1932,8.71,8.597142857,,,25.77571429,8.597142857
1933,Mecca,Saudi Arabia,25.21,25.73,,1933,8.34,8.541428571,,,25.73,8.541428571
1934,Mecca,Saudi Arabia,25.53,25.68857143,,1934,8.63,8.557142857,,,25.68857143,8.557142857
1935,Mecca,Saudi Arabia,25.9,25.66714286,,1935,8.52,8.541428571,,,25.66714286,8.541428571
